date,open,high,low,close
2021-09-24,1.174178,1.174812,1.170166,1.174026
2021-09-27,1.172209,1.172800,1.168661,1.172305
2021-09-28,1.169604,1.170600,1.166997,1.169680
2021-09-29,1.168688,1.169200,1.161009,1.168634
2021-09-30,1.160227,1.161170,1.157006,1.160160
2021-10-01,1.157421,1.160900,1.156390,1.157448
2021-10-04,1.160726,1.164009,1.158856,1.160726
2021-10-05,1.161656,1.162250,1.158306,1.161845
2021-10-06,1.159514,1.159958,1.153017,1.159608
2021-10-07,1.155535,1.157140,1.154935,1.155535
2021-10-08,1.155922,1.158373,1.154255,1.155976
2021-10-11,1.156591,1.158749,1.155295,1.156604
2021-10-12,1.155295,1.157006,1.153389,1.155375
2021-10-13,1.153097,1.157901,1.153057,1.153403
2021-10-14,1.159958,1.162500,1.158467,1.159958
2021-10-15,1.159071,1.161980,1.158883,1.159152
2021-10-18,1.159595,1.161211,1.157300,1.159703
2021-10-19,1.161454,1.167000,1.161386,1.161386
2021-10-20,1.163386,1.165401,1.161805,1.163196
2021-10-21,1.165243,1.166997,1.163318,1.165501
2021-10-22,1.162588,1.165406,1.162237,1.162534
2021-10-25,1.164131,1.166861,1.159326,1.164009
2021-10-26,1.161170,1.162900,1.158587,1.161170
2021-10-27,1.159824,1.162439,1.158534,1.159824
2021-10-28,1.159891,1.169317,1.158319,1.160012
2021-10-29,1.168374,1.169180,1.154668,1.168361
2021-11-01,1.155936,1.159326,1.154668,1.155668
2021-11-02,1.160174,1.161500,1.157917,1.159958
2021-11-03,1.158078,1.159900,1.156363,1.157943
2021-11-04,1.161575,1.161710,1.152924,1.161575
2021-11-05,1.155668,1.156470,1.151410,1.155535
2021-11-08,1.156845,1.159555,1.155175,1.156885
2021-11-09,1.158869,1.160901,1.157019,1.159152
2021-11-10,1.159366,1.159824,1.151344,1.159555
2021-11-11,1.148567,1.149161,1.145489,1.148594
2021-11-12,1.144780,1.145987,1.143406,1.145082
2021-11-15,1.144230,1.146421,1.141696,1.144165
2021-11-16,1.136738,1.138701,1.133067,1.136648
2021-11-17,1.131618,1.133400,1.127053,1.132118
2021-11-18,1.131811,1.135976,1.131503,1.132118
