date,open,high,low,close
2021-09-24,151.363007,151.712997,151.011002,151.365997
2021-09-27,151.352005,152.173004,151.115005,151.389999
2021-09-28,151.998001,152.565994,150.542999,152.018005
2021-09-29,150.970001,151.166000,149.927994,150.979996
2021-09-30,150.244003,150.925995,150.093002,150.279999
2021-10-01,150.110001,150.692993,149.244003,150.110992
2021-10-04,150.550003,151.511002,150.210007,150.548004
2021-10-05,150.985992,152.024002,150.742996,150.975998
2021-10-06,151.934998,152.108994,150.826004,151.903000
2021-10-07,151.410004,152.003006,151.009995,151.412994
2021-10-08,152.078995,152.925995,152.003998,152.059998
2021-10-11,152.880005,154.498001,152.862000,152.862000
2021-10-12,154.136993,154.807007,153.707001,154.100006
2021-10-13,154.126999,154.944000,154.119995,154.125000
2021-10-14,154.850998,155.723007,154.813004,154.858994
2021-10-15,155.589996,157.406998,155.570007,155.570007
2021-10-18,157.272995,157.320999,156.615997,157.320999
2021-10-19,157.014999,158.035995,156.882996,156.973007
2021-10-20,157.985001,158.201996,157.020004,157.960007
2021-10-21,158.098007,158.156006,156.953003,158.095993
2021-10-22,156.990005,157.632004,156.056000,157.001007
2021-10-25,156.429001,156.796997,156.164993,156.380005
2021-10-26,156.578995,157.748001,156.490005,156.570007
2021-10-27,157.188004,157.240005,155.710007,157.169998
2021-10-28,156.210007,156.561005,155.910004,156.222000
2021-10-29,156.755005,157.082993,156.042999,156.716995
2021-11-01,156.307999,156.468002,155.815994,156.296005
2021-11-02,155.809006,155.809006,154.658005,155.779007
2021-11-03,155.162994,155.891998,154.962006,155.158005
2021-11-04,156.179001,156.203995,153.121002,156.188004
2021-11-05,153.731995,153.759003,152.819000,153.759003
2021-11-08,153.041656,153.612000,152.712997,153.076996
2021-11-09,153.582993,153.623993,152.766998,153.604004
2021-11-10,153.111328,153.720001,152.794998,153.100006
2021-11-11,152.770004,152.994003,152.487000,152.735001
2021-11-12,152.412994,152.912994,152.399002,152.399002
2021-11-15,152.923996,153.266998,152.641998,152.910995
2021-11-16,153.035004,154.000000,153.000000,153.000000
2021-11-17,154.248993,154.649994,153.975006,154.244003
2021-11-18,154.037994,154.251007,153.707001,154.007004
2021-11-19,154.292999,154.442001,152.520004,154.259995
2021-11-22,153.317001,154.029007,153.134003,153.322998
2021-11-23,153.789001,154.201004,153.285004,153.774994
2021-11-24,154.014999,154.128006,153.460007,153.996002
2021-11-25,153.843994,154.046005,153.425003,153.822998
2021-11-26,153.227005,153.227005,150.794006,153.177002
2021-11-29,151.660004,151.832993,150.753006,151.699005
2021-11-30,151.529999,151.600006,149.755997,151.505005
2021-12-01,150.576996,151.417007,150.063004,150.626999
2021-12-02,149.830002,150.785004,149.798004,149.850006
2021-12-03,150.315994,150.725998,149.300003,150.302002
2021-12-06,149.533005,150.376007,149.365997,149.610992
2021-12-07,150.470001,151.112000,150.177994,150.464996
2021-12-08,150.348999,150.669998,149.518997,150.360001
2021-12-09,150.190002,150.289993,149.470001,150.149002
2021-12-10,150.037994,150.371002,149.682007,150.005005
2021-12-13,150.475006,150.740997,150.029999,150.451996
2021-12-14,150.052994,150.542999,149.800003,150.063995
2021-12-15,150.472000,150.992004,150.281998,150.466003
2021-12-16,151.389999,152.617996,151.091003,151.363998
2021-12-17,151.451004,151.697006,150.419998,151.423004
2021-12-20,150.212997,150.397995,149.539001,150.162994
2021-12-21,150.115005,151.261993,149.906006,150.132004
2021-12-22,151.276993,152.572998,151.100006,151.233994
2021-12-23,152.350006,153.695007,152.281998,152.332993
2021-12-24,153.399994,153.542999,153.054993,153.432007
2021-12-27,153.235001,154.362000,153.154007,153.237000
2021-12-28,154.253998,154.561996,154.020004,154.261002
2021-12-29,154.160995,155.037994,154.031998,154.149994
2021-12-30,155.166000,155.641006,154.914993,155.119995
2021-12-31,155.270004,155.987000,155.005997,155.294006
2022-01-03,155.667999,155.908005,154.897003,155.682999
2022-01-04,155.460999,157.406998,155.388290,155.483002
2022-01-05,157.149994,157.373993,156.576004,157.162994
2022-01-06,157.397995,157.459000,156.119995,157.397003
2022-01-07,156.798996,157.089996,156.751007,156.789993
2022-01-10,157.125000,157.354004,155.968994,157.136993
2022-01-11,156.535995,157.199997,156.417007,156.528000
2022-01-12,157.223007,157.681000,157.042999,157.220993
2022-01-13,157.154999,157.449005,156.511002,157.134995
2022-01-14,156.440002,156.509995,155.479996,156.477005
2022-01-17,156.281998,156.707993,156.194000,156.281998
2022-01-18,156.354004,156.880005,155.485001,156.345001
2022-01-19,155.789001,156.222000,155.403000,155.787003
2022-01-20,155.602005,156.039993,155.425003,155.593002
2022-01-21,154.945007,154.977005,153.917007,154.977005
2022-01-24,154.223007,154.464005,152.957001,154.231003
2022-01-25,153.770996,153.878006,153.119995,153.774994
2022-01-26,153.826004,154.552002,153.675995,153.835999
2022-01-27,154.483994,154.709000,153.824005,154.481995
2022-01-28,154.412994,154.940994,154.378006,154.388000
2022-01-31,154.429001,155.324997,154.386002,154.475998
2022-02-01,154.768997,155.160995,154.485992,154.764999
2022-02-02,155.123993,155.281006,154.809998,155.154007
2022-02-03,155.108002,156.483994,155.029999,155.130005
2022-02-04,156.313004,156.490997,155.598999,156.304001
2022-02-07,155.951996,156.121994,155.110992,155.923004
2022-02-08,155.766998,156.705994,155.748001,155.748001
2022-02-09,156.505997,156.839996,156.287003,156.492996
2022-02-10,156.431000,158.039001,156.250000,156.425995
2022-02-11,157.231995,157.667007,156.723007,157.233994
2022-02-14,156.798996,156.828003,155.330002,156.828003
2022-02-15,156.347000,156.811996,155.975006,156.337006
2022-02-16,156.574005,157.069000,156.371002,156.550995
2022-02-17,156.707001,156.979004,156.106995,156.740005
2022-02-18,156.365005,157.173004,156.212006,156.399994
2022-02-21,156.242004,156.727997,156.123001,156.248001
2022-02-22,155.764008,156.494995,155.593994,155.772003
2022-02-23,156.414993,156.764999,155.899002,156.391998
2022-02-24,155.643005,155.854004,153.399002,155.613007
2022-02-25,154.498001,155.162003,154.160995,154.524002
2022-02-28,154.518997,154.970001,154.098007,154.552002
2022-03-01,154.459000,154.671997,152.897003,154.455994
2022-03-02,153.069000,154.524994,152.820007,153.126999
2022-03-03,154.707993,155.205994,154.041000,154.733002
2022-03-04,154.132004,154.188995,151.473007,154.156006
2022-03-07,151.841995,152.197998,151.207993,151.858994
2022-03-08,151.272003,151.863998,151.003998,151.270004
2022-03-09,151.632996,152.710007,151.572006,151.572006
2022-03-10,152.843002,152.981995,152.080002,152.815994
2022-03-11,152.188995,153.395004,152.011002,152.209000
2022-03-14,153.324997,154.182007,153.190002,153.365005
2022-03-15,153.804001,154.684006,153.283005,153.768005
2022-03-16,154.304993,155.348999,154.238998,154.302994
2022-03-17,156.199005,156.694000,155.468994,156.171005
2022-03-18,155.917007,156.998001,155.889008,155.889008
2022-03-21,156.940002,157.382996,156.376999,156.936996
2022-03-22,157.459000,160.149994,157.459000,157.477005
2022-03-23,160.899002,161.078995,159.057007,160.957993
2022-03-24,159.957001,160.998001,159.593994,159.938004
2022-03-25,161.412003,161.417007,159.882004,161.417007
2022-03-28,161.059998,164.587997,160.776993,161.059998
2022-03-29,162.011993,162.548004,160.412003,162.011993
2022-03-30,161.197998,161.197998,159.048996,161.197998
2022-03-31,160.263000,160.798996,159.477005,160.263000
2022-04-01,160.057999,161.143997,160.003006,160.057999
2022-04-04,160.651001,161.264008,160.287003,160.651001
2022-04-05,161.009995,161.942993,160.544998,161.009995
2022-04-06,161.695999,162.244003,161.608994,161.695999
2022-04-07,161.688995,162.246002,161.449005,161.688995
2022-04-08,162.171997,162.223999,161.658005,162.171997
2022-04-11,162.085999,163.841003,161.921005,162.085999
2022-04-12,163.389999,163.606003,162.919006,163.389999
2022-04-13,163.057007,164.199997,163.005005,163.057007
2022-04-14,164.468002,164.781006,164.022995,164.468002
2022-04-15,164.847000,165.367859,164.653000,164.847000
2022-04-18,165.317001,165.360001,164.630005,165.317001
2022-04-19,165.309998,167.444000,165.309998,165.309998
2022-04-20,168.283997,168.388000,166.460007,168.283997
2022-04-21,167.246002,167.895004,166.981003,167.246002
2022-04-22,167.233002,167.550003,164.820999,167.233002
2022-04-25,164.994995,165.113998,162.069000,164.994995
2022-04-26,162.731003,163.570007,160.451996,162.731003
2022-04-27,160.136002,161.216995,160.080002,160.136002
2022-04-28,161.016998,164.220993,160.875000,161.016998
2022-04-29,163.005005,163.966995,162.522003,163.005005
2022-05-02,163.445999,163.798004,162.753998,163.445999
2022-05-03,162.574997,163.395004,162.490005,162.574997
2022-05-04,162.636002,162.841995,162.233994,162.636002
2022-05-05,163.022995,163.117996,160.490997,163.022995
2022-05-06,161.100998,161.574005,160.339996,161.100998
2022-05-09,161.153000,162.177994,160.186996,161.153000
2022-05-10,160.841995,161.483994,160.059006,160.841995
2022-05-11,160.421005,161.259995,160.005005,160.421005
2022-05-12,158.815994,159.033997,155.673996,158.815994
2022-05-13,156.908005,158.251007,156.653000,156.908005
2022-05-16,158.643005,159.216995,157.483002,158.643005
2022-05-17,158.880005,161.828995,158.863007,158.880005
2022-05-18,161.589996,161.697006,158.938004,161.589996
2022-05-19,157.869995,159.895004,157.869995,157.869995
2022-05-20,159.279007,160.177994,158.729004,159.279007
2022-05-23,159.914993,160.779999,159.417007,159.914993
2022-05-24,160.639999,160.835007,158.052002,160.639999
2022-05-25,158.970001,159.822006,158.399002,158.970001
2022-05-26,160.007996,160.772003,159.021393,160.007996
2022-05-27,160.268997,160.593994,159.809998,160.268997
2022-05-30,160.723007,161.514999,160.332993,160.723007
2022-05-31,161.595001,162.330002,160.973007,161.595001
2022-06-01,162.264999,163.324997,161.994995,162.264999
2022-06-02,162.395004,163.126007,162.106003,162.395004
2022-06-03,163.412994,164.048996,163.059998,163.412994
2022-06-06,163.268005,165.037003,162.934998,163.268005
2022-06-07,165.518997,166.910995,165.315002,165.518997
2022-06-08,167.201996,168.487000,166.970001,167.201996
2022-06-09,168.563004,168.716995,166.740005,168.563004
2022-06-10,167.899002,167.899002,165.177002,167.899002
2022-06-13,165.464996,166.001999,162.294006,165.464996
2022-06-14,162.979996,164.248001,161.356003,162.979996
2022-06-15,162.496002,163.076004,161.729004,162.496002
2022-06-16,163.240005,163.751007,160.156006,163.240005
2022-06-17,163.585007,166.156998,163.052002,163.585007
2022-06-20,165.401001,165.625000,164.503006,165.401001
2022-06-21,165.488007,167.375000,165.389999,165.488007
2022-06-22,167.102005,167.302994,165.800995,167.102005
2022-06-23,166.584000,166.878006,164.757996,166.584000
2022-06-24,165.283997,166.292999,164.858002,165.283997
2022-06-27,165.873001,166.473999,165.147003,165.873001
2022-06-28,166.119995,166.899994,165.720993,166.119995
2022-06-29,165.798004,166.300003,165.440002,165.798004
