date,open,high,low,close
2021-09-24,1.372194,1.373770,1.365952,1.372250
2021-09-27,1.366942,1.372872,1.365934,1.366904
2021-09-28,1.370099,1.371780,1.352539,1.370163
2021-09-29,1.354151,1.355454,1.342408,1.354224
2021-09-30,1.342624,1.351717,1.341742,1.342642
2021-10-01,1.346965,1.357349,1.343634,1.346983
2021-10-04,1.357092,1.363977,1.353363,1.357092
2021-10-05,1.360766,1.365001,1.358585,1.360748
2021-10-06,1.362565,1.363141,1.354463,1.362769
2021-10-07,1.359268,1.363736,1.357184,1.359213
2021-10-08,1.361953,1.365374,1.358493,1.362027
2021-10-11,1.361823,1.367428,1.361285,1.361656
2021-10-12,1.359287,1.363736,1.357036,1.359065
2021-10-13,1.357718,1.364759,1.357700,1.357884
2021-10-14,1.367073,1.373438,1.365896,1.366923
2021-10-15,1.366867,1.377354,1.366867,1.366886
2021-10-18,1.376008,1.376406,1.371084,1.376159
2021-10-19,1.373815,1.383200,1.373645,1.373645
2021-10-20,1.379482,1.382361,1.374325,1.379320
2021-10-21,1.382361,1.383399,1.378721,1.382300
2021-10-22,1.379120,1.381425,1.374306,1.379120
2021-10-25,1.376652,1.379177,1.374344,1.376273
2021-10-26,1.376614,1.382954,1.375819,1.376444
2021-10-27,1.376842,1.378037,1.371084,1.376614
2021-10-28,1.373249,1.381521,1.372307,1.373287
2021-10-29,1.380072,1.380453,1.368176,1.380072
2021-11-01,1.368644,1.369244,1.364238,1.368326
2021-11-02,1.365934,1.366718,1.361081,1.365542
2021-11-03,1.361748,1.366456,1.361137,1.361739
2021-11-04,1.369357,1.369488,1.347320,1.369488
2021-11-05,1.350950,1.350986,1.342588,1.350860
2021-11-08,1.348963,1.357976,1.345189,1.349127
2021-11-09,1.356374,1.360544,1.352631,1.356451
2021-11-10,1.356098,1.356668,1.346838,1.356000
2021-11-11,1.341274,1.343274,1.337023,1.341274
2021-11-12,1.336720,1.342282,1.335399,1.336648
2021-11-15,1.341688,1.344954,1.340393,1.341706
2021-11-16,1.341094,1.347346,1.340842,1.340842
2021-11-17,1.342426,1.349018,1.340267,1.342462
2021-11-18,1.348963,1.351390,1.346540,1.349164
2021-11-19,1.349837,1.350986,1.340842,1.349965
2021-11-22,1.343360,1.344990,1.339226,1.343454
2021-11-23,1.339764,1.340842,1.334419,1.339764
2021-11-24,1.337578,1.338975,1.332481,1.337596
2021-11-25,1.333102,1.335301,1.330654,1.333067
2021-11-26,1.331345,1.334846,1.328057,1.331416
2021-11-29,1.333956,1.336309,1.329027,1.334098
2021-11-30,1.331664,1.336934,1.320620,1.331505
2021-12-01,1.329593,1.335113,1.327721,1.329593
2021-12-02,1.327933,1.333262,1.327246,1.328000
2021-12-03,1.330070,1.330814,1.321144,1.329999
2021-12-06,1.323294,1.328551,1.322384,1.323732
2021-12-07,1.326418,1.328974,1.321056,1.326436
2021-12-08,1.324854,1.326260,1.317471,1.324609
2021-12-09,1.321004,1.321702,1.317627,1.321004
2021-12-10,1.322489,1.327105,1.319087,1.322401
2021-12-13,1.325803,1.326876,1.322244,1.325715
2021-12-14,1.321336,1.325557,1.319087,1.321353
2021-12-15,1.323136,1.328286,1.320812,1.323051
2021-12-16,1.326401,1.337327,1.324310,1.326313
2021-12-17,1.332427,1.334045,1.325768,1.332374
2021-12-20,1.322996,1.324345,1.317402,1.322944
2021-12-21,1.320987,1.326119,1.319975,1.321000
2021-12-22,1.326999,1.336237,1.324135,1.326964
2021-12-23,1.335203,1.343725,1.334508,1.335203
2021-12-24,1.340914,1.342570,1.339405,1.340662
2021-12-27,1.340520,1.344070,1.339226,1.340430
2021-12-28,1.344447,1.346257,1.341832,1.344267
2021-12-29,1.343400,1.349928,1.340914,1.343328
